"MAX_PLAN_DT","PLAN_CTRL_CD","PLAN_CTRL_NUM"
11/21/2001,"R","3729"
10/26/2001,"N","7309"
11/6/2001,"S","5757"
11/1/2001,"R","3716"
10/30/2001,"S","5767"
10/16/2001,"N","7289"
10/18/2001,"S","5758"
10/18/2001,"N","7300"
10/2/2001,"N","7277"
9/26/2001,"S","5742"
10/4/2001,"N","6393"
10/12/2001,"N","7291"
9/24/2001,"N","7266"
10/1/2001,"N","7226"
10/1/2001,"N","7274"
9/14/2001,"S","5734"
9/17/2001,"R","3696"
9/17/2001,"N","7263"
9/11/2001,"S","5713"
9/12/2001,"S","5717"
8/30/2001,"N","7234"
8/31/2001,"N","7251"
9/4/2001,"S","5725"
9/4/2001,"S","5727"
8/28/2001,"R","3697"
8/16/2001,"N","7187"
8/16/2001,"R","3691"
8/7/2001,"S","5711"
7/24/2001,"S","5682"
7/31/2001,"R","3682"
7/18/2001,"S","5690"
7/26/2001,"N","7181"
7/16/2001,"S","5685"
7/17/2001,"N","7204"
7/3/2001,"R","3670"
6/28/2001,"R","3668"
6/29/2001,"S","5667"
7/2/2001,"S","5669"
6/21/2001,"S","5660"
6/21/2001,"R","3666"
6/21/2001,"R","3667"
6/19/2001,"R","3651"
6/18/2001,"S","5656"
6/26/2001,"N","7143"
6/26/2001,"N","7158"
6/26/2001,"S","5632"
6/15/2001,"R","3660"
5/17/2001,"N","7045"
6/12/2001,"N","7134"
5/29/2001,"N","7137"
6/1/2001,"S","5645"
6/1/2001,"S","5636"
6/4/2001,"N","7162"
6/7/2001,"N","7165"
5/24/2001,"S","5624"
5/16/2001,"R","3646"
5/23/2001,"S","5619"
5/23/2001,"N","7149"
5/10/2001,"N","7109"
5/15/2001,"N","7081"
4/13/2001,"S","5613"
4/4/2001,"N","7097"
4/27/2001,"S","5625"
6/5/2000,"R","3463"
7/3/2000,"R","3480"
4/19/2001,"S","5617"
2/28/2001,"R","3609"
4/4/2001,"R","3628"
3/30/2001,"N","7062"
4/2/2001,"N","7094"
4/2/2001,"S","5604"
3/15/2001,"S","5592"
3/9/2001,"S","5587"
3/21/2001,"R","3621"
3/9/2001,"S","5582"
3/12/2001,"R","3613"
3/9/2001,"N","7068"
2/13/2001,"S","5531"
2/28/2001,"S","5569"
1/31/2001,"S","5539"
2/22/2001,"R","3604"
2/14/2001,"S","5558"
2/8/2001,"S","5546"
2/9/2001,"N","7057"
2/1/2001,"S","5525"
2/2/2001,"S","5483"
2/2/2001,"N","7008"
1/19/2001,"S","5528"
1/22/2001,"S","5368"
1/23/2001,"S","5529"
1/16/2001,"S","5516"
1/18/2001,"S","5497"
1/3/2001,"S","5505"
1/8/2001,"R","3581"
12/26/2000,"S","5340"
12/6/2000,"R","3569"
12/14/2000,"N","7007"
12/4/2000,"S","5467"
12/5/2000,"R","3568"
10/17/2000,"N","6963"
11/14/2000,"N","6982"
11/17/2000,"R","3561"
11/6/2000,"R","3554"
11/8/2000,"S","5397"
11/8/2000,"N","6978"
10/25/2000,"S","5370"
10/31/2000,"S","5433"
9/29/2000,"N","6941"
10/25/2000,"S","5422"
10/27/2000,"S","5428"
10/18/2000,"N","6952"
