"PLAN_CTRL_CD","PLAN_CTRL_NUM","MMS_COMPANY_NUM","BUS_ASC_NAME","PLAN_TYPE_CODE","PLAN_RECV_DATE","PLAN_COORDINATOR"
"S","2435","00748","SOCO Offshore, Inc.","DOCD",3/30/1990,"MJ"
"S","2436","01138","El Paso Production GOM Inc.","DOCD",4/4/1990,"DT"
"S","2437","00963","FMP Operating Company, a Limited Partnership","DOCD",4/4/1990,"MT"
"S","2438","00114","BP America Production Company","DOCD",4/4/1990,"AG"
"S","2439","00276","Exxon Mobil Corporation","DOCD",4/5/1990,"WW"
"S","2440","00040","Texaco Inc.","DOCD",4/6/1990,"DT"
"S","2441","00992","Diamond Shamrock Offshore Partners Limited Partnership","DOCD",4/9/1990,"DT"
"S","2442","00021","MOBIL NOC INC.","DOCD",4/9/1990,"MT"
"S","2443","01046","The Houston Exploration Company","POE",4/10/1990,"AG"
"S","2444","01601","Gulfstar Energy, Inc.","POE",4/11/1990,"WW"
"S","2445","00232","Odeco Oil & Gas Company","POE",4/11/1990,"DT"
"S","2446","00724","Marathon Oil Company","DOCD",4/12/1990,"MT"
"S","2447","01207","Petrobras America Inc.","DOCD",4/13/1990,"AG"
"S","2448","00056","ConocoPhillips Company","DOCD",4/18/1990,"WW"
"S","2449","00689","Shell Offshore Inc.","DOCD",4/18/1990,"DT"
"S","2450","00898","Energen Resources MAQ, Inc.","DOCD",4/19/1990,"MT"
"S","2451","01956","Seagull Energy E&P Inc.","DOCD",4/20/1990,"AG"
"S","2452","00689","Shell Offshore Inc.","POE",4/20/1990,"WW"
"S","2454","00040","Texaco Inc.","DOCD",4/23/1990,"MT"
"S","2455","01102","Century Offshore Management Corporation","DOCD",4/23/1990,"AG"
"S","2456","01108","Sandefer Offshore Operating Co.","DOCD",4/23/1990,"WW"
"S","2457","01259","First Energy Corporation","POE",4/23/1990,"DT"
"S","2458","01732","Cockrell Oil and Gas, L.P.","POE",4/24/1990,"MT"
"S","2459","01374","Transco Exploration and Production Company","POE",4/24/1990,"AG"
"S","2460","00967","Atlantic Richfield Company","POE",4/25/1990,"WW"
"S","2461","00078","Chevron U.S.A. Inc.","DOCD",4/26/1990,"DT"
"S","2462","00846","Hall-Houston Oil Company","POE",4/27/1990,"MT"
"S","2463","01225","Wayman W. Buchanan, Inc.","DOCD",4/30/1990,"AG"
"S","2464","00078","Chevron U.S.A. Inc.","POE",4/30/1990,"WW"
"S","2465","00078","Chevron U.S.A. Inc.","POE",5/7/1990,"DT"
"S","2466","00078","Chevron U.S.A. Inc.","DOCD",5/9/1990,"MT"
